wave,I
0.642414,1.096096
0.64271,1.0781211
0.643006,1.0725887
0.643302,1.0938831
0.643598,1.1238128
0.643894,1.078643
0.64419,1.0757203
0.644486,1.0694676
0.644782,1.0677035
0.645078,1.0951253
0.645374,1.1092902
0.64567,1.0766493
0.645966,1.0950835
0.646262,1.1185595
0.646558,1.0788205
0.646854,1.0828288
0.64715,1.0985282
0.647446,1.088643
0.647742,1.1099269
0.648038,1.1145303
0.648334,1.0983716
0.64863,1.133643
0.648926,1.0864823
0.649222,1.1222965
0.649518,1.0851253
0.649814,1.0786013
0.65011,1.1316597
0.650406,1.0898956
0.650702,1.1035177
0.650998,1.1188518
0.651294,1.0833299
0.65159,1.1019207
0.651886,1.0830376
0.652182,1.0777244
0.652478,1.1294259
0.652774,1.1180585
0.65307,1.1021294
0.653366,1.1065344
0.653662,1.1065866
0.653958,1.134499
0.654254,1.1329019
0.65455,1.0895047
0.654846,1.117286
0.655142,1.1168163
0.655438,1.1193633
0.655734,1.1025574
0.65603,1.1108977
0.656326,1.0851775
0.656622,1.0790084
0.656918,1.107881
0.657214,1.0907724
0.65751,1.1057829
0.657806,1.1023703
0.658102,1.1032463
0.658398,1.1183507
0.658694,1.0888831
0.65899,1.0772443
0.659286,1.1109603
0.659582,1.1251775
0.659878,1.0890919
0.660174,1.0677557
0.66047,1.0891649
0.660766,1.0940919
0.661062,1.0842589
0.661358,1.0787056
0.661654,1.1144781
0.66195,1.1098747
0.662246,1.0812109
0.662542,1.0973486
0.662838,1.1306785
0.663134,1.1154071
0.66343,1.115595
0.663726,1.1008768
0.664022,1.0976096
0.664318,1.1138727
0.664614,1.0830719
0.66491,1.0942902
0.665206,1.1276514
0.665502,1.1209708
0.665798,1.1431112
0.666094,1.1446138
0.66639,1.1078392
0.666686,1.1360334
0.666982,1.0985073
0.667278,1.0787834
0.667574,1.123382
0.66787,1.1109603
0.668166,1.1391441
0.668462,1.1349165
0.668758,1.1349061
0.669054,1.102547
0.66935,1.1193319
0.669646,1.118382
0.669942,1.1010647
0.670238,1.0915658
0.670534,1.1197286
0.67083,1.1544885
0.671126,1.1343215
0.671422,1.1170251
0.671718,1.122286
0.672014,1.1240188
0.67231,1.1274008
0.672606,1.1450313
0.672902,1.1373904
0.673198,1.1376409
0.673494,1.1160856
0.67379,1.1021712
0.674086,1.0760752
0.674382,1.0800835
0.674678,1.1182881
0.674974,1.1291858
0.67527,1.108803
0.675566,1.117286
0.675862,1.1118058
0.676158,1.108309
0.676454,1.108803
0.67675,1.1426722
0.677046,1.1129645
0.677342,1.1237265
0.677638,1.1051983
0.677934,1.1021294
0.67823,1.0807829
0.678526,1.1206576
0.678822,1.1101253
0.679118,1.0850835
0.679414,1.1243215
0.67971,1.1066806
0.680006,1.123382
0.680302,1.1484551
0.680598,1.1578706
0.680894,1.1489979
0.68119,1.1210438
0.681486,1.1008768
0.681782,1.0943841
0.682078,1.1271816
0.682374,1.1445825
0.68267,1.1403236
0.682966,1.1113257
0.683262,1.1170042
0.683558,1.1480898
0.683854,1.0920564
0.68415,1.1240188
0.684446,1.1415866
0.684742,1.1399374
0.685038,1.0924635
0.685334,1.1100418
0.68563,1.1266075
0.685926,1.1538325
0.686222,1.1603132
0.686518,1.137881
0.686814,1.1274217
0.68711,1.1308246
0.687406,1.1416284
0.687702,1.1619833
0.687998,1.1242067
0.688294,1.1345616
0.68859,1.138476
0.688886,1.154572
0.689182,1.1264092
0.689478,1.1390084
0.689774,1.1187996
0.69007,1.1200104
0.690366,1.1001983
0.690662,1.1478706
0.690958,1.1384656
0.691254,1.1094572
0.69155,1.1103445
0.691846,1.0915971
0.692142,1.0894363
0.692438,1.1366284
0.692734,1.1193633
0.69303,1.1205428
0.693326,1.1089353
0.693622,1.0952923
0.693918,1.1656576
0.694214,1.1392484
0.69451,1.1419311
0.694806,1.1454802
0.695102,1.1329228
0.695398,1.1371503
0.695694,1.1009708
0.69599,1.101618
0.696286,1.1414509
0.696582,1.1155532
0.696878,1.1452554
0.697174,1.1389979
0.69747,1.1122965
0.697766,1.1216686
0.698062,1.1409669
0.698358,1.0806994
0.698654,1.1538325
0.69895,1.1553862
0.699246,1.0956263
0.699542,1.1658768
0.699838,1.098142
0.700134,1.1003445
0.70043,1.1085491
0.700726,1.145428
0.701022,1.0862422
0.701318,1.1538309
0.701614,1.1601253
0.70191,1.1453445
0.702206,1.1535804
0.702502,1.1407307
0.702798,1.1659708
0.703094,1.1486221
0.70339,1.1196973
0.703686,1.1284447
0.703982,1.1392693
0.704278,1.1336743
0.704574,1.1431942
0.70487,1.1240084
0.705166,1.1075992
0.705462,1.129238
0.705758,1.1504175
0.706054,1.1472965
0.70635,1.1201983
0.706646,1.1485908
0.706942,1.1609603
0.707238,1.1627035
0.707534,1.1548643
0.70783,1.127286
0.708126,1.1589353
0.708422,1.090929
0.708718,1.1018163
0.709014,1.1559916
0.70931,1.158121
0.709606,1.1607829
0.709902,1.1491962
0.710198,1.1838521
0.710494,1.135334
0.71079,1.1025261
0.711086,1.1667119
0.711382,1.1380167
0.711678,1.1570981
0.711974,1.1655219
0.71227,1.1657098
0.712566,1.1572338
0.712862,1.1299791
0.713158,1.1514301
0.713454,1.1474322
0.71375,1.1122025
0.714046,1.1062944
0.714342,1.1691545
0.714638,1.1463883
0.714934,1.1570355
0.71523,1.1628706
0.715526,1.1042797
0.715822,1.1070459
0.716118,1.1372651
0.716414,1.1195511
0.71671,1.1515392
0.717006,1.1759053
0.717302,1.1466661
0.717598,1.1195511
0.717894,1.1195511
0.71819,1.1466661
0.718486,1.1612857
0.718782,1.1431112
0.719078,1.1105428
0.719374,1.1144363
0.71967,1.1409669
0.719966,1.1068058
0.720262,1.1650731
